Game ID,Player,Leader,Starting Position,Score,Ending Position
1073,@MortimerSmith ,Tessia,4,-37.8,3
1073,@rybachello ,Leto,3,-29.6,4
1072,@vintaya ,Yuna,1,48.9,1
1072,@vaggelakos13 ,Rhombur,3,-10.3,2
1072,@Katatonic ,Baron,2,-18.0,3
1072,@Siroz26 ,Ecaz,4,-20.6,4
1071,@nobody09 ,Rhombur,3,58.7,1
1071,@IFreeMan ,Baron,4,-10.0,2
1071,@Narballs ,Leto,2,-18.0,3
1071,@Popoulous ,Helena,1,-30.7,4
1070,@MortimerSmith ,Helena,2,44.7,1
1070,@Franz ,Ecaz,4,5.4,2
1070,@Lonk ,Hundro,3,-15.7,3
1070,@killer ,Beast,1,-34.4,4
1069,@franc ,Ilban,4,36.3,1
1069,@rybachello ,Ecaz,1,42.9,2
1069,@ADIBOU ,Hundro,2,-41.3,3
1069,@waata ,Helena,3,-37.9,4
1068,@Rosco ,Rhombur,3,54.7,1
1068,@nobody09 ,Paul,1,43.2,2
1068,@IFreeMan ,Helena,4,-36.9,3
1068,@Franz ,Ariana,2,-61.0,4
1067,@MortimerSmith ,Paul,4,63.1,1
1067,@dinosmaroulis ,Yuna,2,10.2,2
1067,@vaggelakos13 ,Hundro,1,-19.7,3
1067,@Zelbot ,Helena,3,-53.6,4
1066,@franc ,Hundro,2,57.3,1
1066,@vaggelakos13 ,Baron,1,7.1,2
1066,@dinosmaroulis ,Ecaz,4,-33.6,3
1066,@waata ,Paul,3,-30.7,4
1065,@CrazyApple ,Leto,2,17.4,1
1065,@rybachello ,Baron,1,57.8,2
1065,@Ideel ,Tessia,4,-26.3,3
1065,@mooshow ,Ecaz,3,-48.9,4
1064,@IFreeMan ,Baron,4,25.9,1
1064,@vaggelakos13 ,Leto,3,10.5,2
1064,@killer ,Hundro,1,-1.3,3
1064,@tester ,Ecaz,2,-35.2,4
1063,@CrazyApple ,Yuna,1,19.9,1
1063,@Benten ,Tessia,3,5.3,2
1063,@mooshow ,Helena,4,-19.1,3
1063,@Siroz26 ,Hundro,2,-6.0,4
1062,@Sir Jon ,Baron,3,51.1,1
1062,@Maunoobxx ,Ilban,4,9.1,2
1062,@friachi ,Hundro,2,-22.8,3
1062,@Spacesuit Spiff ,Yuna,1,-37.4,4
1061,@krompl ,Yuna,1,26.8,1
1061,@2gonza2 ,Hundro,2,36.8,2
1061,@darkdinner ,Ariana,3,-14.2,3
1061,@Yooliss ,Ilban,4,-49.4,4
1060,@lilgreenghouls ,Baron,1,41.2,1
1060,@Vasya ,Ilban,3,5.4,2
1060,@Lonk ,Paul,4,-30.1,3
1060,@pan Jan ,Hundro,2,-16.5,4
1059,@Thuney ,Leto,2,35.8,1
1059,@cybervova ,Beast,4,7.3,2
1059,@vaggelakos13 ,Ilban,3,-29.0,3
1059,@Justice ,Rhombur,1,-14.1,4
1058,@krompl ,Tessia,3,46.9,1
1058,@Ideel ,Hundro,1,-0.6,2
1058,@darkdinner ,Ecaz,4,-1.5,3
1058,@Woerdistan ,Beast,2,-44.8,4
1057,@vaggelakos13 ,Tessia,1,23.1,1
1057,@djgod79 ,Helena,2,29.3,2
1057,@vin1987123 ,Ecaz,3,1.1,3
1057,@e_jasmins ,Baron,4,-53.5,4
1056,@Rappo ,Beast,4,44.6,1
1056,@Yooliss ,Ariana,1,1.0,2
1056,@DROGIRANOPILE ,Leto,2,-16.3,3
1056,@TheDrunkWizard ,Ecaz,3,-29.3,4
1055,@justinbyun ,Beast,1,13.9,1
1055,@darkdinner ,Ariana,3,24.9,2
1055,@2gonza2 ,Ilban,4,7.8,3
1055,@MortimerSmith ,Hundro,2,-46.6,4
1054,@Q32 ,Beast,4,65.8,1
1054,@crashtest776 ,Yuna,1,-2.1,2
1054,@darkdinner ,Ilban,3,-2.9,3
1054,@vaggelakos13 ,Hundro,2,-60.8,4
1053,@Lonk ,Paul,2,50.6,1
1053,@SUPPORTAI ,Ecaz,3,-0.2,2
1053,@vintaya ,Rhombur,1,5.9,3
1053,@lilgreenghouls ,Ariana,4,-56.3,4
1052,@Zelbot ,Beast,3,34.0,1
1052,@Katatonic ,Helena,4,34.4,2
1052,@In Flames ,Leto,2,-16.7,3
1052,@e_jasmins ,Tessia,1,-51.8,4
1051,@Woerdistan ,Hundro,2,35.7,1
1051,@nobody09 ,Tessia,1,34.2,2
1051,@Lonk ,Ecaz,4,-27.9,3
1051,@vintaya ,Baron,3,-42.0,4
1050,@franc ,Baron,4,54.0,1
1050,@Franz ,Rhombur,2,-13.5,2
1050,@darkdinner ,Beast,1,-23.4,3
1050,@Siroz26 ,Hundro,3,-17.1,4
1049,@Yung Savage ,Tessia,2,56.6,1
1049,@crashtest776 ,Yuna,1,10.1,2
1049,@vaggelakos13 ,Rhombur,4,-21.7,3
1049,@IASC ,Baron,3,-45.0,4
1048,@vaggelakos13 ,Baron,2,36.1,1
1048,@IASC ,Ilban,4,6.9,2
1048,@dinosmaroulis ,Ariana,1,-34.7,3
1048,@Watson ,Helena,3,-8.3,4
1047,@Franz ,Ariana,4,29.1,1
1047,@Rosco ,Beast,1,16.0,2
1047,@Yung Savage ,Hundro,2,-31.9,3
1047,@Siroz26 ,Ilban,3,-13.2,4
1046,@Lonk ,Paul,2,26.1,1
1046,@franc ,Tessia,1,9.5,2
1046,@osongbio ,Beast,4,-7.5,3
1046,@rybachello ,Yuna,3,-28.1,4
1045,@IFreeMan ,Hundro,3,13.4,1
1045,@Martell ,Ilban,4,27.4,2
1045,@asat0r ,Yuna,1,6.5,3
1045,@0TH0N ,Rhombur,2,-47.4,4
1044,@Vigo ,Hundro,2,35.4,1
1044,@Intruz ,Yuna,1,-3.7,2
1044,@vin1987123 ,Baron,3,6.9,3
1044,@nobody09 ,Helena,4,-38.7,4
1043,@Vigo ,Yuna,1,39.6,1
